benchmarkTravelTime,CR-Fairmount,CR-Fitchburg,CR-Franklin,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Middleborough,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester,North Station,South Station,weekday,hour,month,morning,evening,weekend,rush_hour,holiday,delay_label
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,1,0,1,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,1,0,1,0,0,0,1
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,1,1,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1,1,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,1,1,0,0,1,0,1
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,1,1,0,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,1,1,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,1,0,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,1,0,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17,1,0,1,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17,1,0,1,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,18,1,0,1,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20,1,0,1,0,0,0,0
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,1,1,0,1,1,0,0
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,17,1,0,1,1,1,0,1
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,19,1,0,1,1,1,0,1
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,21,1,0,1,1,0,0,0
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,1,1,0,1,1,0,0
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,16,1,0,0,1,0,0,1
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,1,0,1,1,1,0,1
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,19,1,0,1,1,1,0,1
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,1,0,1,1,0,0,0
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,21,1,0,1,1,0,0,1
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,1,0,0,0,0,0
