foo,CR-Fairmount,CR-Fitchburg,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester
57,23.033333333333335,92.05,54.71666666666667,71.01666666666667,67.58333333333334,41.93333333333333,45.28333333333333,67.28333333333333,83.11666666666667,101.91666666666667
58,24.516666666666666,95.15,56.166666666666664,61.483333333333334,66.13333333333333,53.05,38.416666666666664,65.975,84.55833333333334,81.86666666666666
59,16.0,93.81666666666666,55.06666666666667,70.26666666666667,65.23333333333333,44.4,39.53333333333333,69.05833333333334,83.49166666666667,99.03333333333333
60,24.033333333333335,97.18333333333334,57.333333333333336,73.16666666666667,69.65,48.833333333333336,40.233333333333334,65.33333333333334,86.30833333333334,85.86666666666666
61,24.033333333333335,91.6,55.88333333333333,81.55,69.23333333333333,46.55,44.1,70.33333333333333,82.82499999999999,81.2
62,24.533333333333335,100.38333333333334,53.85,66.4,69.225,42.15,43.21666666666667,65.625,81.85,87.93333333333334
63,26.533333333333335,82.53333333333333,54.61666666666667,66.1,74.36666666666667,43.03333333333333,51.85,68.45833333333333,81.48333333333333,82.28333333333333
64,27.533333333333335,95.73333333333333,62.15,72.83333333333333,68.05833333333334,50.666666666666664,64.45,67.725,87.42500000000001,78.88333333333334
65,22.55,91.48333333333333,60.68333333333333,70.55,68.00833333333333,55.9,48.0,64.2,84.07499999999999,88.76666666666667
66,22.533333333333335,99.13333333333334,55.3,70.88333333333334,68.26666666666667,47.266666666666666,42.78333333333333,67.15833333333333,82.80833333333334,85.83333333333333
67,24.033333333333335,91.71666666666667,55.0,72.68333333333334,67.78333333333333,46.65,49.016666666666666,67.575,82.50833333333333,77.96666666666667
68,23.233333333333334,81.91666666666667,53.88333333333333,74.36666666666666,70.975,47.9,45.1,67.06666666666666,83.975,81.31666666666666
69,24.533333333333335,91.48333333333333,55.666666666666664,77.48333333333333,75.175,39.2,44.6,67.50833333333333,88.575,87.68333333333334
70,22.516666666666666,114.73333333333333,54.28333333333333,69.86666666666666,76.70833333333333,44.0,43.8,65.55833333333334,85.24166666666667,81.25
71,21.533333333333335,100.95,56.25,71.36666666666666,63.541666666666664,45.7,37.86666666666667,68.225,82.775,79.63333333333334
72,24.8,105.43333333333334,55.0,72.28333333333333,66.675,46.71666666666667,37.06666666666667,64.53333333333333,83.78333333333333,86.11666666666666
73,21.516666666666666,92.7,53.78333333333333,77.85,68.70833333333334,46.2,41.11666666666667,67.83333333333334,86.95833333333333,93.83333333333333
74,22.016666666666666,101.63333333333334,57.05,69.28333333333333,67.5,48.15,44.9,68.75,84.94999999999999,97.88333333333334
75,24.0,103.08333333333333,57.86666666666667,72.93333333333334,69.09166666666667,46.2,44.28333333333333,70.90833333333333,82.83333333333333,82.48333333333333
76,24.533333333333335,91.93333333333334,51.583333333333336,69.21666666666667,73.60833333333333,46.85,42.28333333333333,68.66666666666667,88.30000000000001,87.3
77,23.516666666666666,94.23333333333333,55.11666666666667,73.95,65.95,46.983333333333334,44.75,67.89166666666667,86.675,158.68333333333334
78,24.533333333333335,105.13333333333334,54.766666666666666,76.41666666666667,71.61666666666667,41.45,45.53333333333333,68.5,80.49166666666667,92.6
79,24.533333333333335,94.78333333333333,57.11666666666667,75.76666666666667,75.80833333333334,42.56666666666667,59.4,67.21666666666667,82.04166666666667,88.35
80,32.63333333333333,86.15,55.483333333333334,70.88333333333334,103.65,46.06666666666667,45.46666666666667,65.575,88.61666666666667,82.78333333333333
81,22.733333333333334,93.61666666666666,62.7,66.43333333333334,77.90833333333333,47.8,47.13333333333333,68.49166666666667,89.00833333333333,97.86666666666666
82,26.516666666666666,102.95,56.56666666666667,70.11666666666666,70.65,44.78333333333333,43.46666666666667,68.65833333333333,86.03333333333333,80.55
83,24.566666666666666,94.7,55.06666666666667,67.4,69.94166666666666,50.11666666666667,37.85,69.975,85.66666666666666,82.3
84,22.033333333333335,98.06666666666666,61.35,75.5,76.95833333333333,52.13333333333333,46.11666666666667,71.08333333333334,81.21666666666667,86.23333333333333
85,23.3,86.4,53.7,66.7,70.18333333333334,43.483333333333334,41.733333333333334,69.96666666666667,81.36666666666667,96.36666666666666
86,25.033333333333335,107.06666666666666,55.666666666666664,61.88333333333333,71.7,43.93333333333333,37.416666666666664,72.65,88.09166666666667,79.85
87,26.033333333333335,99.11666666666666,53.68333333333333,71.6,68.21666666666667,45.56666666666667,37.75,68.55,83.54166666666666,79.6
88,24.533333333333335,114.23333333333333,58.95,76.01666666666667,72.925,47.95,43.3,70.11666666666667,85.45833333333333,85.88333333333334
89,23.516666666666666,84.58333333333333,55.28333333333333,66.4,77.34166666666667,50.13333333333333,44.983333333333334,67.94166666666666,83.375,87.06666666666666
90,23.533333333333335,99.48333333333333,58.18333333333333,64.7,67.96666666666667,45.483333333333334,45.56666666666667,63.733333333333334,82.35833333333332,79.76666666666667
91,23.016666666666666,81.38333333333334,54.1,72.46666666666667,57.4,46.93333333333333,46.68333333333333,68.98333333333333,86.82499999999999,77.56666666666666
