actualTravelTimeMin,benchmarkTravelTime,delay,CR-Fairmount,CR-Fitchburg,CR-Franklin,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Middleborough,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester,North Station,South Station,weekday,hour,month,morning,evening,weekend,rush_hour,holiday,delay_label
24.36666667,25.0,-0.6333333329999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,1,0,0,1,0,0,0
25.9,25.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,15,1,0,0,1,0,0,1
24.86666667,25.0,-0.133333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,1,0,1,1,1,0,0
25.63333333,25.0,0.6333333329999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,1,0,1,1,0,0,1
28.55,30.0,-1.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0
27.95,30.0,-2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,1,0,0,0,0,0
27.5,30.0,-2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,1,0,0,1,0,0
26.83333333,30.0,-3.166666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,0,0,1,0,0
26.9,30.0,-3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,0,0,0,0
28.58333333,30.0,-1.4166666669999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0,0,0,0,0,0
28.11666667,30.0,-1.8833333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,0,0,0,0
33.08333333,30.0,3.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,1
28.58333333,30.0,-1.4166666669999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0
